Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ващенко-Захарченко,Єфрем,Андрійович,Чоловік,03.05.1993,Композитор,село Щастя ,"проспект Сільськогосподарський, буд. 3, Маріуполь, 72866",+380 70 987-15-49,shukhevychsviatoslava@example.org
Шовкопляс,Павло,Ігнатович,Чоловік,19.03.1976,Модель,село Шаргород,"провулок Садова 1-ша, буд. 834 кв. 5, Ковель, 57990",363-44-95,larysa36@example.org
Бездітко,Михайло,Едуардович,Чоловік,05.05.1976,Перекладач,село Зеленодольськ,"вулиця Наявний 6-й, буд. 7, Черкаси, 70648",+380 14 382-39-32,iaremavolodymyr@example.net
Проценко,Геннадій,Вʼячеславович,Чоловік,01.01.1950,Клоун,село Погребище,"провулок Моторна, буд. 44, Куп'янськ, 85803",+380 71 157 78 76,dzyndramyron@example.net
Шухевич,Демʼян,Несторович,Чоловік,04.07.1984,Бібліограф,місто Молодогвардійськ,"сквер Сталепрокатна, буд. 017, Соснівка , 56194",694 51 42,atamaniukdavyd@example.org
Канівець,Лесь,Зиновійович,Чоловік,22.05.2003,Будник,місто Снятин,"площа Грузовий, буд. 92 кв. 7, Харків, 94048",+380 (27) 775-04-95,teodorsheremet@example.org
Гупало,Борис,Данилович,Чоловік,20.10.1982,Доцент,місто Кипуче,"площа Декабристів, буд. 866 кв. 0, Камінь-Каширський, 08077",343-22-08,derehuskhrystyna@example.org
Швачка,Ігнат,Костянтинович,Чоловік,04.02.2000,Модель,місто Деражня,"парк Лінія 31-ша, буд. 415 кв. 57, Костянтинівка, 60858",+380 17 840-35-86,oleksandrdanko@example.org
Фартушняк,Орхип,Костянтинович,Чоловік,16.09.1956,Парфюмер,селище Мирноград,"проспект Посмітного, буд. 92 кв. 821, Зимогір'я, 50028",030 970 21 33,orysia69@example.org
Андріїшин,Костянтин,Йосипович,Чоловік,15.05.1971,Психолог,місто Новоукраїнка,"набережна Тимірязєва 4-й, буд. 0 кв. 99, Красноперекопськ, 47634",591-15-91,cdashenko@example.org
Фоменко,Миколай,Аврелійович,Чоловік,07.12.2002,Локсмайстер,хутір Зіньків,"шосе Лїнія 1-ша, буд. 0 кв. 2, Буча, 27013",554 11 45,xilchenko@example.net
Козак,Яків,Стефанович,Чоловік,18.08.1972,Кінорежисер,місто Берислав,"шосе ім. К.Г. Паустовського, буд. 514, Яворів, 68918",232 91 07,iaroslav05@example.com
Царенко,Богуслав,Климентович,Чоловік,26.06.1972,Кушнір,село Умань,"провулок Теплична, буд. 1, Зугрес, 81035",+380 65 713-82-03,tereshchukorkhyp@example.org
Бевз,Ігнат,Омелянович,Чоловік,22.11.1944,Льотчик,місто Мелітополь,"шосе Дальня, буд. 966 кв. 575, Курахове, 10320",047 434-55-32,psomko@example.net
Журба,Валентин,Семенович,Чоловік,19.09.1954,Хімік,місто Синельникове,"парк Трамвайна, буд. 439 кв. 34, Прилуки, 46716",+380 80 034-89-61,arkhymovychokhrim@example.org
Абрагамовський,Олег,Артемович,Чоловік,17.02.1969,Бізнесмен,хутір Миколаїв,"площа Сергія Ядова, буд. 320, Володимир-Волинський, 39404",+380 66 984-74-53,ckolesnychenko@example.net
Гузенко,Юхим,Мартинович,Чоловік,11.02.1941,Прокурор,місто Гірське,"площа Князівська, буд. 18 кв. 0, Звенигородка, 07094",715-77-52,ievhen11@example.com
Ватаманюк,Гордій,Владиславович,Чоловік,30.05.1968,Патологоанатом,хутір Устилуг,"шосе Студена, буд. 233, Вільногірськ, 36115",226-14-64,khoma34@example.org
Дробаха,Венедикт,Русланович,Чоловік,27.02.1955,Каскадер,село Бахчисарай,"провулок Рибальська балка, буд. 60 кв. 058, Вознесенськ, 26471",+380 (69) 435-46-15,teibozhenko@example.com
Гриценко,Володимир,Несторович,Чоловік,16.12.1983,Машиніст,місто Федорівка,"площа Топольського, буд. 2 кв. 799, Галич, 29435",+380 (35) 006-48-69,ivasiuknadiia@example.com
Малишко,Стефан,Устимович,Чоловік,05.05.2006,Музикант,село Жовква,"вулиця Шота Руставелі, буд. 85, Нетішин, 55311",+380 38 245 67 35,danna02@example.com
Малик,Кирило,Гордійович,Чоловік,06.03.1946,Стиліст,хутір Дрогобич,"площа Марата 1-й, буд. 79, Білозерське, 63415",013 406-03-09,roman99@example.com
Юхименко,Аарон,Леонідович,Чоловік,05.12.1946,Шериф,село Дніпро ,"площа Трудових резервів, буд. 2, Нетішин, 37599",960-85-83,borys41@example.com
Гавриленко,Олесь,Федорович,Чоловік,16.03.1964,Краєзнавець,місто Обухів,"вулиця Андросовський, буд. 65 кв. 33, Могилів-Подільський, 49474",718 45 83,romanhuz@example.net
Базилевич,Прохір,Богданович,Чоловік,15.09.2004,Фрілансер,місто Миронівка,"площа Нафтовиків, буд. 02 кв. 810, Підгайці, 34399",337-52-21,orest02@example.net
Вітрук,Ярослав,Трохимович,Чоловік,04.05.1968,Актор,місто Мар'їнка,"вулиця Дідріхсона, буд. 5 кв. 979, Пологи , 29209",+380 25 846 45 82,ielyseikhorishko@example.net
Голобородько,Яків,Володимирович,Чоловік,11.05.2008,Гірничий інженер,село Монастирище,"провулок Дачна, буд. 440 кв. 392, Бровари, 58284",039 214-40-52,iaremapushkar@example.com
Деряжний,Мартин,Вʼячеславович,Чоловік,24.08.1947,Сантехнік,село Чернігів,"сквер Розкидайлівська, буд. 307 кв. 2, Прип'ять , 49123",052 544 86 28,gskoryk@example.org
Оробець,Спас,Орхипович,Чоловік,09.10.2002,Бібліограф,село Подільськ,"сквер Ванний, буд. 75, Болехів, 83195",+380 (58) 189-00-46,vlukash@example.net
Тарасенко,Пармен,Ігнатович,Чоловік,15.06.1948,Швачка,село Радехів,"вулиця Лазурний 4-й, буд. 46 кв. 5, Харцизьк, 58958",742-95-28,ielysavetaieremenko@example.org
Даценко,Олесь,Степанович,Чоловік,02.10.1965,Доцент,хутір Нова Каховка,"площа Грецька, буд. 12 кв. 57, Городище , 04320",789 26 58,izhakevychiakiv@example.org
Гречко,Аарон,Романович,Чоловік,02.07.1941,Медик,хутір Бердичів,"сквер Лінія 31-ша, буд. 7 кв. 6, Могилів-Подільський, 26730",098 318-94-53,hennadiipetryk@example.com
Рак,Богодар,Георгійович,Чоловік,07.06.1971,Патологоанатом,селище Золотоноша,"площа Махачкалинська, буд. 8 кв. 17, Нововолинськ, 72498",+380 43 207 51 16,achaika@example.net
Носенко,Святослав,Сергійович,Чоловік,30.08.1951,Дизайнер,хутір Бахмут,"парк Калнишевського Петра, буд. 45, Дубровиця, 74686",018 029 26 94,ckabaliuk@example.com
Верес,Артем,Станіславович,Чоловік,13.11.1993,Актор,місто Дунаївці,"проспект Лермонтовський, буд. 8 кв. 05, Христинівка, 55645",+380 13 794 66 26,kolisnychenkoandrii@example.com
Байрак,Мартин,Олександрович,Чоловік,16.09.1948,Патологоанатом,село Бершадь,"узвіз Кифоренка Бориса, буд. 77, Гуляйполе, 48202",047 418-93-85,orysiazasenko@example.org
Атрощенко,Зорян,Вадимович,Чоловік,04.05.1939,Публіцист,місто Городок,"площа Людмили Гінзбург, буд. 7, Лубни, 07279",+380 97 543-08-86,zakhar96@example.net
Ільченко,Теодор,Юстимович,Чоловік,21.01.1966,Співак,село Тетіїв,"сквер Монгольська, буд. 028 кв. 4, Копичинці, 52153",031-36-80,uadamenko@example.org
Василенко,Зиновій,Пилипович,Чоловік,12.03.1976,Палеонтолог,місто Кобеляки,"проспект Дніпровська, буд. 218, Золоте, 97327",307-36-72,vitaliizhalilo@example.com
Атаманюк,Костянтин,Несторович,Чоловік,11.03.1953,Скульптор,місто Зугрес,"вулиця Тульська, буд. 6 кв. 5, Молочанськ, 80530",+380 26 844-88-55,bpetrenko@example.org
Деряжний,Спас,Микитович,Чоловік,01.01.1985,Кінолог,село Херсон,"провулок Квіткова, буд. 26, Шостка, 02055",+380 98 964-48-74,mykolai10@example.net
Євтушок,Ярема,Орхипович,Чоловік,22.07.2004,Фрілансер,хутір Лиман ,"проспект Заводська, буд. 41, Любомль, 46343",169 51 39,priska52@example.com
Лавренко,Євген,Несторович,Чоловік,10.09.2000,Кінорежисер,місто Шостка,"набережна Керченська, буд. 98, Південне , 50981",+380 (89) 444-14-62,edytatsiupa@example.net
Оліфіренко,Веніямин,Панасович,Чоловік,09.05.1987,Ґрунтознавець,місто Сватове,"парк Сталепрокатна, буд. 27 кв. 72, Балаклія, 60363",+380 (16) 351-51-69,oleskovpak@example.net
Петлюра,Борис,Соломонович,Чоловік,21.02.2000,Клавішник,селище Сорокине,"проспект Заводська 2-га, буд. 648, Сніжне, 41356",+380 (24) 689-19-22,albinaizhak@example.org
Шеремет,Онисим,Семенович,Чоловік,17.11.2007,Астрофізик,місто Енергодар,"проспект Андрійця Олега, буд. 33, Рава-Руська, 15697",+380 (27) 693-73-45,panchukanzhela@example.net
Бандера,Станіслав,Охрімович,Чоловік,27.05.2004,Візажист,місто Берестечко,"сквер Цимлянська, буд. 0 кв. 834, Бровари, 57677",865 55 22,mbevz@example.com
Перебийніс,Устим,Святославович,Чоловік,21.01.1944,Гінеколог,місто Бар,"сквер Вітчизняна, буд. 58 кв. 11, Лубни, 49547",576 10 67,ckharchenko@example.org
Гаврюшенко,Амвросій,Едуардович,Чоловік,07.11.1976,Антрополог,місто Снігурівка,"вулиця Хвойний, буд. 9 кв. 407, Рожище, 17128",207-29-65,zakhar63@example.net
Данько,Азар,Зорянович,Чоловік,09.05.1962,Науковець,місто Золотоноша,"вулиця Санаторний, буд. 13 кв. 70, Васильків, 26164",+380 90 144-07-22,ctykha@example.com
Жук,Леон,Опанасович,Чоловік,18.11.1969,Євнух,місто Торецьк,"проспект Канатна, буд. 7, Ізмаїл, 69616",058 110-47-43,khoma45@example.org
Смик,Богдан,Орхипович,Чоловік,20.08.1968,Пекар,село Ланівці,"набережна Шовкуненка, буд. 2, Вишгород, 02695",870 39 46,amaliiasachenko@example.org
Мірошниченко,Мартин,Тимофійович,Чоловік,20.09.1946,Промисловець,хутір Фастів,"сквер Проектна 1-ша, буд. 6, Дунаївці, 22591",+380 37 434-66-40,orysialiashko@example.net
Яремко,Станіслав,Ааронович,Чоловік,16.01.1989,Кур'єр,хутір Пологи ,"узвіз Митракова, буд. 38, Умань, 25986",+380 49 781-84-19,arsenartemenko@example.com
Колесниченко,Сергій,Давидович,Чоловік,25.07.1971,Ґрунтознавець,хутір Бахмут,"проспект Селищна, буд. 45 кв. 003, Гуляйполе, 18675",477 14 27,wartiukh@example.com
Демиденко,Устим,Артемович,Чоловік,01.05.1985,Астрофізик,селище Хотин,"провулок Херсонський, буд. 9, Камінь-Каширський, 98916",+380 11 245 79 81,nbandera@example.org
Юрченко,Єлисей,Альбертович,Чоловік,21.08.1946,Петрограф,селище Довжанськ,"вулиця Одеська, буд. 620 кв. 14, Гайсин, 75239",+380 88 942-06-39,wlemeshko@example.net
Юрчишин,Петро,Данилович,Чоловік,14.08.1989,Паблік рилейшнз,село Феодосія,"набережна Сільськогосподарський, буд. 436, Горішні Плавні, 76953",082 05 89,skolodub@example.net
Медведенко,Франц,Устимович,Чоловік,20.05.1960,Гірник,селище Саки ,"сквер Собінова, буд. 748 кв. 4, Козятин, 88562",075 714 01 07,antoniashchenko@example.com
Сагаль,Дан,Валентинович,Чоловік,27.07.1981,Хореограф,місто Балаклія,"узвіз Студентський 1-й, буд. 1 кв. 57, Тростянець, 38409",666-25-47,havryliukkhrystyna@example.org
Василашко,Василь,Охрімович,Чоловік,06.07.1952,Інженер,місто Перевальськ,"шосе Мазараті, буд. 3 кв. 390, Жмеринка, 49024",499 83 05,dmytro46@example.net
Кибкало,Єлисей,Йосипович,Чоловік,03.06.1940,Географ,село Заліщики,"сквер Пішонівська, буд. 2, Вільнянськ, 19252",064 869 66 21,hermanbarabash@example.com
Усик,Олег,Григорійович,Чоловік,23.06.1995,Слідчий,село Ізюм,"шосе Джутовий, буд. 890, Житомир, 78058",+380 90 147-63-89,sviatoslav45@example.org
Лупій,Мартин,Леонідович,Чоловік,08.11.1956,Ріелтор,село Семенівка,"узвіз Чапаєва 2-й, буд. 77 кв. 1, Макіївка, 46668",+380 39 705-49-08,ievdokymenkoihor@example.org
Франко,Федір,Венедиктович,Чоловік,16.08.1984,Штукатур,місто Немирів,"узвіз Мусіна, буд. 23 кв. 4, Вільнянськ, 44804",106-33-19,irena59@example.net
Скоробогатько,Теодор,Богданович,Чоловік,01.09.1958,Випробувач,село Хорол ,"сквер Семафорний, буд. 38 кв. 207, Кам'янське, 66016",594-11-10,dzhunedyta@example.com
Міщенко,Богдан,Семенович,Чоловік,18.02.1990,Літературознавець,місто Моршин,"площа Велика Арнаутська, буд. 18, Дрогобич, 50627",+380 (90) 212-23-76,brebryk@example.net
Дейнека,Георгій,Геннадійович,Чоловік,14.05.1980,Інженер,село Зміїв,"шосе Перепечка, буд. 8 кв. 9, Глобине, 76293",+380 81 791-01-48,schumachenko@example.net
Редько,Августин,Борисович,Чоловік,24.08.1993,Історик,селище Енергодар,"площа Травневий 5-й, буд. 290 кв. 195, Зимогір'я, 42199",354-32-11,huzenkosviatoslav@example.com
Бгиденко,Адам,Станіславович,Чоловік,15.01.1989,Антрополог,хутір Умань,"провулок Лазурний 3-й, буд. 622, Буринь, 47968",682 35 32,bohdannavakarchuk@example.org
Юхименко,Аркадій,Андрійович,Чоловік,19.09.2006,Електрик,хутір Рахів,"парк Четверта, буд. 723, Дебальцеве, 92969",062 542 85 10,okozak@example.com
Бгиденко,Панас,Валерійович,Чоловік,11.11.1966,Юрист,хутір Городенка,"набережна Соляний 5-й, буд. 4, Виноградів, 79653",012 326 97 65,illiaprotsenko@example.net
Аронець,Ігнат,Семенович,Чоловік,04.07.1944,Пекар,селище Василівка ,"вулиця М’ясоєдовська, буд. 661 кв. 45, Вараш, 64486",092 192-23-30,qkolisnychenko@example.net
Адаменко,Богдан,Прохорович,Чоловік,11.04.1972,Історик,селище Шпола,"парк Болградська, буд. 30 кв. 76, Баштанка, 59846",+380 (05) 507-03-16,snizhanaarsenych@example.org
Ємець,Августин,Ігорович,Чоловік,30.06.1948,Соціолог,село Горохів,"шосе Івасюка Володимира, буд. 3, Перечин, 45869",056 670-91-76,daryna14@example.com
Александренко,Стефан,Володимирович,Чоловік,16.05.1996,Диригент,місто Мукачево,"узвіз 19-й км Старокиївської дороги, буд. 338, Нетішин, 36742",046 851-23-19,iukhym05@example.org
Демʼяненко,Борис,Богодарович,Чоловік,18.01.1974,Кінокритик,селище Чортків,"проспект Лазурний 6-й, буд. 449, Гребінка, 45429",+380 94 291-67-19,anzhelababarychenko@example.com
Абраменко,Антон,Амвросійович,Чоловік,08.02.1943,Клавішник,місто Радомишль,"шосе Георгія Гамова, буд. 25, Олешки, 57197",893 20 65,haidaoleksa@example.com
Захаренко,Аарон,Адамович,Чоловік,22.05.1980,Мистецтвознавець,хутір Красилів,"проспект Авдєєва-Чорноморського, буд. 770 кв. 5, Білозерське, 26850",+380 72 975-99-58,solomiiaavramchuk@example.com
Ніколюк,Борис,Альбертович,Чоловік,16.07.1952,Фармацевт,селище Балаклія,"провулок Дельфін, буд. 2, Красноперекопськ, 29747",020 533 38 19,kyrylenkomykhailyna@example.com
Заєць,Гаврило,Мартинович,Чоловік,31.12.1962,Маркетолог,село Херсон,"площа Студена, буд. 77, Ровеньки, 02013",039 022-76-45,tarastovstukha@example.org
Базилевич,Кирило,Аркадійович,Чоловік,31.03.2001,Маркетолог,селище Знам'янка,"набережна Іцхака Рабіна, буд. 8, Глиняни, 75661",+380 38 663-89-87,iarynatsymbaliuk@example.net
Канівець,Яків,Михайлович,Чоловік,22.08.2001,Пілот,село Ялта,"провулок Вишневий, буд. 564 кв. 928, Берислав, 21353",+380 (95) 658-22-36,vashchukparmen@example.net
Артюшенко,Валерій,Олександрович,Чоловік,11.10.1952,Географ,селище Ватутіне,"проспект Лінія 29-та, буд. 31 кв. 176, Великі Мости, 47779",+380 09 157 26 74,bairakmartyn@example.org
Яременко,Лукʼян,Несторович,Чоловік,07.08.1948,Математик,хутір Старобільськ,"провулок Чорноморський 12-й, буд. 54, Жовті Води, 51903",+380 12 626 65 97,opanas87@example.org
Шило,Станіслав,Устимович,Чоловік,16.04.1991,Співак,місто Підгайці,"шосе Васнецова, буд. 34 кв. 154, Луганськ, 92555",505 86 62,tiahnybokarkadii@example.org
Василевич,Герман,Богуславович,Чоловік,21.04.1997,Астроном,хутір Білицьке,"узвіз Іванова 1-й, буд. 72 кв. 8, Чорноморськ, 86063",036 884 71 27,iakymenkoorest@example.org
Засуха,Марко,Глібович,Чоловік,17.10.1950,Кінорежисер,селище Новоукраїнка,"площа Виноградний, буд. 05, Шпола, 08743",003 689-49-36,klymentkorolenko@example.net
Франчук,Амвросій,Олесьович,Чоловік,15.03.1974,Краєзнавець,село Дружба ,"набережна Дальницьке, буд. 172 кв. 0, Лисичанськ, 56116",458-35-64,iaroslavachalenko@example.net
Авдєєнко,Федір,Вʼячеславович,Чоловік,11.06.1957,Сценарист,селище Олешки,"набережна Польова, буд. 24, Рівне, 19181",+380 (67) 940-17-10,hartym@example.net
Дахно,Богуслав,Климентович,Чоловік,12.12.1991,Громадський діяч,місто Рахів,"проспект Кільовий, буд. 1, Золочів, 14770",028 585-17-11,cshvedchenko@example.com
Луценко,Павло,Яковович,Чоловік,29.01.1998,Різноробочий,місто Бурштин ,"проспект Баштанна, буд. 280, Нікополь, 33744",+380 55 958-45-15,dmytro20@example.net
Лисенко,Гордій,Геннадійович,Чоловік,19.11.1966,Сантехнік,хутір Буринь,"проспект Супутників, буд. 98 кв. 606, Енергодар, 61847",+380 03 885-91-05,tovstukhatrokhym@example.net
Цісик,Дан,Устимович,Чоловік,09.06.1959,Маркетолог,місто Мукачево,"вулиця Заводська 1-ша, буд. 68 кв. 78, Обухів, 94298",584 20 54,romandemianenko@example.com
Макаренко,Юстим,Едуардович,Чоловік,26.04.1980,Мікробіолог,село Бахмач,"шосе Чорноморський 1-й, буд. 0 кв. 993, Ясинувата, 32212",083 445-16-52,lytvyniaryna@example.com
Парасюк,Олександр,Охрімович,Чоловік,06.02.1982,Маркетолог,хутір Волноваха,"провулок Косий, буд. 31 кв. 366, Суходільськ, 15598",+380 11 111 89 22,hutsuliakviktor@example.org
Хорішко,Борис,Болеславович,Чоловік,18.10.1973,Флорист,місто Турка,"провулок Павлодарська, буд. 342 кв. 281, Ворожба, 44505",012 862 26 70,shevchenkobohdan@example.net
Іваничук,Іван,Ярославович,Чоловік,14.12.1968,Дизайнер,село Світлодарськ,"парк Лазурний 4-й, буд. 796 кв. 1, Верхівцеве, 80407",+380 (61) 988-65-60,iushchenkoiaroslava@example.com
Коваленко,Зорян,Болеславович,Чоловік,02.02.1957,Кіноактор,село Балта,"провулок Пржевальського, буд. 8, Конотоп, 05108",023 252-43-27,taras27@example.net
Симоненко,Єлисей,Леопольдович,Чоловік,30.06.1967,Реставратор,хутір Вишневе ,"узвіз Вапняний 3-й, буд. 2, Охтирка, 01266",+380 61 749-50-88,dnalyvaiko@example.net
Бабко,Богуслава,Іванівна,Жінка,12.07.1942,Агроном,місто Алчевськ,"площа Семінарська, буд. 42 кв. 99, Новий Калинів, 71682",+380 65 999 74 15,pvertyporokh@example.com
Павлик,Пріска,Венедиктівна,Жінка,30.12.1960,Паралегал,хутір Ірпінь,"набережна Авіаторів, буд. 5 кв. 878, Середина-Буда, 42635",499-97-95,vkovaliuk@example.net
Чередник,Аніта,Петрівна,Жінка,14.03.1977,Бібліотекар,село Ромни,"площа 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 248 кв. 611, Ізмаїл, 22043",+380 12 257-12-54,etymchuk@example.org
Ватаманюк,Марина,Трохимівна,Жінка,15.08.1976,Геолог,місто Щолкіне,"шосе 11-та Суворовська, буд. 074, Ізяслав, 53667",+380 07 802-69-93,boryslavdubyna@example.org
Андріїшина,Ганна,Яремівна,Жінка,29.04.1953,Швачка,селище Охтирка,"площа Вчительська, буд. 10 кв. 733, Радивилів, 19232",+380 (94) 914-62-65,rmykhailiuk@example.com
Зінкевич,Одарка,Амвросійовна,Жінка,23.03.1971,Ді-джей,село Пологи ,"набережна Композитора Глинки, буд. 89, Волноваха, 16225",+380 03 766-47-78,herman84@example.net
Ґоляш,Роксолана,Бориславівна,Жінка,13.03.1942,Редактор,село Чугуїв,"провулок Літня, буд. 092 кв. 4, Бібрка, 57273",+380 74 353 83 25,wnestaiko@example.net
Яценко,Розалія,Орестівна,Жінка,07.12.1959,Підприємець,селище Броди,"проспект Омська, буд. 2 кв. 996, Полонне, 33807",077 491-03-05,eartemenko@example.org
Гайда,Сніжана,Богуславівна,Жінка,24.11.1965,Різноробочий,хутір Кодима,"парк Дачна, буд. 1, Волноваха, 55738",+380 70 320 80 76,olesbairak@example.com
Скирда,Еріка,Феофанівна,Жінка,03.01.2002,Швачка,хутір Охтирка,"узвіз Акордна, буд. 5, Камінь-Каширський, 40384",+380 30 335-82-15,baturynetsanita@example.net
Скоробогатько,Оксенія,Антонівна,Жінка,05.04.1964,Менеджер,місто Здолбунів,"провулок Обільний 1-й, буд. 6, Балта, 10372",+380 54 392-63-03,nataliia87@example.com
Гаврилишин,Розалія,Григоріївна,Жінка,24.03.1965,Пекар,селище Олександрівськ,"вулиця Гранатний, буд. 441, Вугледар, 82173",+380 47 666-01-62,ielysei67@example.net
Хмара,Аліна,Ярославівна,Жінка,04.12.1977,Дизайнер,хутір Первомайськ,"площа Качалова, буд. 476, Житомир, 92193",072 104 69 12,klyment62@example.net
Перепелиця,Маруся,Васильівна,Жінка,03.11.1958,Штукатур,хутір Носівка,"шосе Станційна 2-га, буд. 495 кв. 8, Дубровиця, 10146",+380 (49) 739-58-53,rbashtan@example.com
Данильчук,Наталія,Омелянівна,Жінка,21.10.1972,Композитор,селище Яготин,"узвіз 15-та Суворовська, буд. 496, Любомль, 83911",+380 47 204 98 53,tymofiihavryliv@example.com
Зінченко,Віра,Аврелійовна,Жінка,19.09.1964,Ювелір,село Таврійськ,"площа Іванова 2-й, буд. 44, Часів Яр, 14957",949-56-53,hryhorii51@example.com
Заруба,Еріка,Марківна,Жінка,20.07.1963,Психолог,селище Донецьк,"шосе Леваневського, буд. 0 кв. 156, Мирноград, 89440",+380 95 451-44-79,wstelmakh@example.org
Чміль,Марія,Пантелеймонівна,Жінка,30.10.1949,Палеонтолог,хутір Добромиль,"парк Більшовицький, буд. 712, Мелітополь, 32314",+380 (74) 409-74-27,dupliiiryna@example.org
Цушко,Аніта,Йосипівна,Жінка,09.06.2005,Юрист,місто Ладижин,"проспект Тираспольська, буд. 387, Бердянськ, 28296",680-35-63,marta10@example.org
Даценко,Емілія,Демʼянівна,Жінка,03.03.1992,Архітектор,селище Біляївка,"проспект Олександра Матросова, буд. 30 кв. 109, Лебедин, 94548",+380 39 865-53-36,liliiakonoplia@example.org
Авраменко,Ірина,Амвросійовна,Жінка,19.09.1991,Швачка,село Новогродівка,"набережна Волна тупик, буд. 91 кв. 568, Торецьк, 64810",+380 52 373-29-11,qfranko@example.net
Дубенко,Дарина,Сергіївна,Жінка,14.12.1998,Промисловець,селище Рожище,"узвіз Луганська, буд. 105 кв. 223, Старобільськ, 82084",+380 (58) 427-45-11,panas62@example.net
Баран,Богданна,Валентинівна,Жінка,16.03.1999,Патологоанатом,селище Новоазовськ,"площа Теплична, буд. 14 кв. 186, Молочанськ, 71147",767 84 93,zzatovkaniuk@example.org
Василенко,Пріска,Варфоломіївна,Жінка,11.01.1943,Ботанік,село Світловодськ,"провулок Подільська, буд. 9, Петрово-Красносілля, 05896",367 65 09,iustyna31@example.com
Дутка,Галина,Марківна,Жінка,14.11.1948,Мінералог,хутір Первомайськ,"парк Орликова, буд. 3 кв. 25, Чортків, 05530",291 14 01,amvrosiimalyk@example.org
Саченко,Святослава,Степанівна,Жінка,11.06.1952,Археолог,селище Хмільник,"парк Городня, буд. 1, Горлівка, 99074",+380 31 550 75 18,nzhuk@example.org
Даньків,Богуслава,Макарівна,Жінка,03.06.2001,Лікар,місто Ходорів,"парк Кибальчича, буд. 984 кв. 76, Стрий, 22546",044 937 03 03,zakharzakharenko@example.com
Забашта,Володимира,Кирилівна,Жінка,21.10.1940,Перекладач,село Ківерці,"парк Сільськогосподарський, буд. 22 кв. 7, Монастирище, 25026",+380 (74) 103-96-22,arkadiibaida@example.net
Джунь,Олена,Варфоломіївна,Жінка,22.03.2001,Електромонтажник,місто Яворів,"сквер Зоопаркова, буд. 9 кв. 1, Корюківка, 95574",066 970-54-94,ziarosh@example.net
Габелко,Ярослава,Юстимівна,Жінка,20.02.1996,Палеонтолог,хутір Мостиська,"вулиця Бугаївська, буд. 209, Трускавець, 43622",+380 57 277-98-72,riaboviliryna@example.net
Бабʼюк,Марія,Вʼячеславівна,Жінка,03.12.1995,Кухар,село Стебник,"узвіз Донцова Дмитра, буд. 5, Гадяч, 77417",+380 (41) 793-14-60,ttokar@example.com
Ємець,Емілія,Назарівна,Жінка,05.08.1989,Футболіст,село Моршин,"узвіз Новгородська, буд. 110 кв. 1, Амвросіївка, 79026",444-22-29,liubov39@example.net
Тягнибок,Емілія,Степанівна,Жінка,29.09.1943,Правник,селище Хрустальний,"провулок Травневий 4-й, буд. 4 кв. 98, Кролевець, 65379",522-71-28,kamillaievdokymenko@example.net
Романенко,Аліна,Семенівна,Жінка,26.10.1986,Фармацевт,село Городня,"провулок Локомотивний 1-й, буд. 748, Верхньодніпровськ, 50337",+380 80 057-68-93,mykhailynahavrysh@example.net
Бгиденко,Василина,Захарівна,Жінка,30.04.1957,Геолог,місто Первомайський ,"провулок Аеродромний 1-й, буд. 3 кв. 7, Теребовля, 52348",+380 (98) 798-81-47,oleh60@example.net
Колісниченко,Ярина,Святославівна,Жінка,31.08.1974,Електротехнік,селище Умань,"узвіз Учительський, буд. 9 кв. 459, Святогірськ, 31119",+380 (98) 656-96-92,konopliaroksolana@example.com
Давимука,Сніжана,Геннадіївна,Жінка,30.03.1949,Журналіст,хутір Зміїв,"вулиця Трамвайний, буд. 8, Ржищів, 39004",+380 78 214 41 17,demianiukandrii@example.org
Сімашкевич,Орися,Варфоломіївна,Жінка,09.02.2007,Шериф,село Новояворівськ,"парк Сирітський, буд. 417 кв. 98, Липовець, 11662",+380 37 675-50-90,prokhir91@example.org
Непорожній,Анастасія,Георгіївна,Жінка,08.12.2002,Краєзнавець,село Городок,"площа Північний, буд. 38, Красноперекопськ, 18279",+380 40 504 26 45,haidenkomarusia@example.org
Іванченко,Одарка,Арсенівна,Жінка,08.07.1981,Кінорежисер,селище Волочиськ,"площа Гена Іоганна, буд. 8 кв. 76, Андрушівка, 72754",261-73-00,viacheslavandriievych@example.net
Дубина,Аніта,Соломонівна,Жінка,21.08.1990,Письменник,місто Макіївка,"сквер Західний 4-й, буд. 173 кв. 27, Курахове, 03807",+380 (62) 026-90-43,klyment18@example.org
Василенко,Златослава,Остапівна,Жінка,24.04.1951,Реабілітолог,село Лисичанськ,"шосе Український 2-й, буд. 710, Приморськ (Україна), 18828",+380 04 331-69-01,vkorbut@example.net
Їжак,Наталія,Святославівна,Жінка,14.10.2001,Промисловець,село Першотравенськ,"вулиця Дубова, буд. 8, Червоносів, 30669",053 487 12 38,orest97@example.org
Рева,Альбіна,Ярославівна,Жінка,14.07.1972,Круп'є,хутір Зіньків,"узвіз Шишкіна 3-й, буд. 66 кв. 25, Білопілля, 45436",076 030 19 40,andriichukherman@example.org
Чабан,Любов,Макарівна,Жінка,29.12.1985,Астрофізик,хутір Ізмаїл,"проспект Яблочкіної, буд. 9 кв. 05, Привілля, 65387",934 21 56,ielysavetafilipenko@example.org
